product_name,quantity,price,date
cigarettes,16,123.0,2023-03-24
cherry,81,25.6,2022-06-16
apple,8,10.5,2022-04-06
mango,79,250.99,2022-06-20
apple,47,10.5,2021-03-04
cigarettes,46,123.0,2022-02-07
cigarettes,41,123.0,2022-07-05
cherry,11,25.6,2023-09-10
apple,31,10.5,2023-07-24
cherry,8,25.6,2022-02-01
mango,49,250.99,2022-08-24
apple,88,10.5,2022-03-24
pear,61,15.7,2023-09-06
apple,10,10.5,2023-01-17
pear,56,15.7,2021-07-30
apple,90,10.5,2023-01-23
apple,14,10.5,2022-07-29
bread,4,15.4,2022-05-19
mango,8,250.99,2023-01-29
mango,86,250.99,2023-05-04
mango,15,250.99,2023-05-04
cherry,99,25.6,2022-04-21
apple,77,10.5,2023-10-10
cherry,59,25.6,2023-08-11
cigarettes,14,123.0,2021-06-02
cherry,96,25.6,2022-09-20
mango,63,250.99,2022-04-14
cherry,27,25.6,2021-06-18
bread,21,15.4,2022-07-21
mango,91,250.99,2022-03-25
pear,48,15.7,2022-11-30
bread,67,15.4,2023-01-25
cherry,55,25.6,2023-05-27
bread,42,15.4,2022-02-10
cigarettes,57,123.0,2023-11-18
cherry,95,25.6,2021-07-08
mango,56,250.99,2023-01-17
mango,66,250.99,2021-01-08
cigarettes,48,123.0,2023-11-05
mango,98,250.99,2023-09-26
mango,25,250.99,2021-08-01
apple,21,10.5,2021-09-17
cherry,72,25.6,2021-11-28
mango,44,250.99,2023-08-05
bread,67,15.4,2021-06-22
cherry,73,25.6,2021-01-05
cherry,30,25.6,2022-06-18
cherry,85,25.6,2022-07-02
pear,74,15.7,2022-06-17
mango,10,250.99,2023-03-06
mango,90,250.99,2021-05-23
apple,4,10.5,2021-07-05
mango,27,250.99,2022-10-22
mango,45,250.99,2022-05-15
bread,15,15.4,2021-03-22
mango,14,250.99,2023-09-03
pear,46,15.7,2022-11-17
cherry,77,25.6,2023-04-12
apple,50,10.5,2023-04-10
bread,80,15.4,2023-11-29
pear,43,15.7,2023-05-20
cherry,51,25.6,2023-11-08
cherry,18,25.6,2021-09-30
pear,24,15.7,2023-09-26
cigarettes,70,123.0,2022-05-11
apple,62,10.5,2022-09-24
bread,16,15.4,2022-11-08
pear,34,15.7,2023-11-18
pear,66,15.7,2021-01-19
cherry,85,25.6,2022-04-08
bread,67,15.4,2022-09-17
cigarettes,99,123.0,2022-01-02
cherry,11,25.6,2021-04-15
apple,73,10.5,2023-05-30
pear,47,15.7,2021-03-15
pear,1,15.7,2023-09-09
mango,20,250.99,2021-03-17
cigarettes,69,123.0,2021-01-05
bread,71,15.4,2023-03-30
bread,48,15.4,2022-01-25
cherry,4,25.6,2022-05-28
pear,72,15.7,2023-07-12
cherry,23,25.6,2021-02-28
cherry,48,25.6,2023-04-29
pear,85,15.7,2021-08-27
pear,24,15.7,2021-04-30
